ID,time created, User, Followers, RTs, Favorites
1101219927460139008,Thu Feb 28 20:37:45 +0000 2019,CSforALL,13025,4,9
1101219881914109952,Thu Feb 28 20:37:34 +0000 2019,kellybarr46,199,11,0
1101219766268768256,Thu Feb 28 20:37:06 +0000 2019,mrtomocon,1803,7,0
1101219486609403904,Thu Feb 28 20:35:59 +0000 2019,lsudol,2677,2,0
1101219447828869120,Thu Feb 28 20:35:50 +0000 2019,mrtomocon,1803,2,0
1101219385803530244,Thu Feb 28 20:35:35 +0000 2019,CSforALL,13025,2,2
1101219337187348480,Thu Feb 28 20:35:24 +0000 2019,BootUpPD,1120,0,2
1101219304530472960,Thu Feb 28 20:35:16 +0000 2019,mrtomocon,1803,3,0
1101218904838455297,Thu Feb 28 20:33:41 +0000 2019,CSforALL,13025,0,3
1101218834940420101,Thu Feb 28 20:33:24 +0000 2019,mrtomocon,1803,0,3
1101218753897992193,Thu Feb 28 20:33:05 +0000 2019,StephWortel,832,3,0
1101218713104199681,Thu Feb 28 20:32:55 +0000 2019,CSforALL,13025,3,5
1101218703256027137,Thu Feb 28 20:32:53 +0000 2019,RyanTorbey,2555,4,0
1101218669684838401,Thu Feb 28 20:32:45 +0000 2019,alfredtwo,6563,2,0
1101218466718273537,Thu Feb 28 20:31:56 +0000 2019,mrtomocon,1803,0,3
1101218198983184384,Thu Feb 28 20:30:52 +0000 2019,phillips_sean,394,2,0
1101218061351301120,Thu Feb 28 20:30:20 +0000 2019,PlayCraftLearn,38027,11,36
1101217969894498305,Thu Feb 28 20:29:58 +0000 2019,lsudol,2677,1,0
1101217862419660800,Thu Feb 28 20:29:32 +0000 2019,CSforALL,13025,1,3
1101217805305827330,Thu Feb 28 20:29:19 +0000 2019,cscharber,1265,4,0
1101217747441197057,Thu Feb 28 20:29:05 +0000 2019,deanmorell,228,0,8
1101217729950957569,Thu Feb 28 20:29:01 +0000 2019,BTwarek,1583,2,0
1101217390984089600,Thu Feb 28 20:27:40 +0000 2019,StephWortel,832,2,0
1101217186662748162,Thu Feb 28 20:26:51 +0000 2019,CSEdResearch,256,4,0
1101217138533117953,Thu Feb 28 20:26:40 +0000 2019,lsudol,2677,2,11
1101217025114939394,Thu Feb 28 20:26:13 +0000 2019,StephWortel,832,4,0
1101216982135959553,Thu Feb 28 20:26:02 +0000 2019,mrtomocon,1803,4,9
1101216808059715597,Thu Feb 28 20:25:21 +0000 2019,alfredtwo,6563,7,0
1101216726350524417,Thu Feb 28 20:25:01 +0000 2019,lsudol,2677,0,1
1101216397776941061,Thu Feb 28 20:23:43 +0000 2019,kvedati,1852,2,0
1101216345226653697,Thu Feb 28 20:23:30 +0000 2019,GT_CCEC,312,4,0
1101216314205573120,Thu Feb 28 20:23:23 +0000 2019,COCHRILL_NHHS,35,1,4
1101216241652588544,Thu Feb 28 20:23:06 +0000 2019,mberry,15524,7,18
1101216078468997120,Thu Feb 28 20:22:27 +0000 2019,SBarksway,50,0,4
1101215963897364481,Thu Feb 28 20:22:00 +0000 2019,CSforALL,13025,4,3
1101215670740623367,Thu Feb 28 20:20:50 +0000 2019,mberry,15524,2,8
1101215584010723328,Thu Feb 28 20:20:29 +0000 2019,MrJBohrer,108,0,2
1101214666397757443,Thu Feb 28 20:16:50 +0000 2019,CSforALL,13025,2,10
1101214594125742080,Thu Feb 28 20:16:33 +0000 2019,Alfarraj_Yousef,446,5,0
1101214187798384641,Thu Feb 28 20:14:56 +0000 2019,amhar_FM,617,5,0
1101213694489440257,Thu Feb 28 20:12:58 +0000 2019,mcmsjameswright,98,0,4
1101213454499807234,Thu Feb 28 20:12:01 +0000 2019,teach_python,1033,1,3
1101213295380357120,Thu Feb 28 20:11:23 +0000 2019,Sheena1010,1296,2,0
1101212220216750080,Thu Feb 28 20:07:07 +0000 2019,StephWortel,832,7,0
1101212142743814145,Thu Feb 28 20:06:49 +0000 2019,lsudol,2677,7,0
1101212034069340160,Thu Feb 28 20:06:23 +0000 2019,GT_CCEC,312,7,0
1101212009625018368,Thu Feb 28 20:06:17 +0000 2019,anneleftwich,1093,2,0
1101211862169985024,Thu Feb 28 20:05:42 +0000 2019,CSforALL,13025,7,12
