ID,time created, user name, user followers, likes, retweets
1100818157202259969,Wed Feb 27 18:01:15 +0000 2019,marlobarnett,1542,10,0
1100817984606605312,Wed Feb 27 18:00:34 +0000 2019,marlobarnett,1542,5,0
1100817922497396737,Wed Feb 27 18:00:19 +0000 2019,marlobarnett,1542,5,6
1100817583031439360,Wed Feb 27 17:58:58 +0000 2019,weareci,5591,10,0
1100815253196206081,Wed Feb 27 17:49:43 +0000 2019,marlobarnett,1542,4,0
1100814803482959872,Wed Feb 27 17:47:55 +0000 2019,dr_nickiw,1110,4,6
1100814306617241602,Wed Feb 27 17:45:57 +0000 2019,scratch,84666,10,0
1100811517136642048,Wed Feb 27 17:34:52 +0000 2019,G4C,32023,4,0
1100810112162324480,Wed Feb 27 17:29:17 +0000 2019,Science4UsSays,5805,2,2
1100809310639132673,Wed Feb 27 17:26:06 +0000 2019,mouse_org,3181,10,13
1100808997450465281,Wed Feb 27 17:24:51 +0000 2019,KenWallace207,5216,1,0
1100808103535280128,Wed Feb 27 17:21:18 +0000 2019,seriousgames123,542,4,0
1100808055019761665,Wed Feb 27 17:21:06 +0000 2019,seriousgames123,542,1,0
1100807775888855041,Wed Feb 27 17:20:00 +0000 2019,lsudol,2664,0,1
1100807486964224001,Wed Feb 27 17:18:51 +0000 2019,CSforALL,12983,1,0
1100807223247294464,Wed Feb 27 17:17:48 +0000 2019,tdugan75,429,1,6
1100806745520308226,Wed Feb 27 17:15:54 +0000 2019,patitsel,902,9,0
1100805263584579584,Wed Feb 27 17:10:01 +0000 2019,MattMenietti,2202,1,1
1100805188540088330,Wed Feb 27 17:09:43 +0000 2019,thinking_gs,23,0,1
1100805060144103424,Wed Feb 27 17:09:12 +0000 2019,CSforALL,12983,2,0
1100804340032458755,Wed Feb 27 17:06:21 +0000 2019,dr_nickiw,1110,1,3
1100804318536425472,Wed Feb 27 17:06:16 +0000 2019,LindaKekelis,2225,0,0
1100804243257262081,Wed Feb 27 17:05:58 +0000 2019,GailLChapman,329,4,0
1100804116811534336,Wed Feb 27 17:05:28 +0000 2019,GailLChapman,329,2,0
1100803687038050308,Wed Feb 27 17:03:45 +0000 2019,Empathetics,2100,10,0
1100803009448198148,Wed Feb 27 17:01:04 +0000 2019,CSforAllTchrs,7267,2,2
1100802225906073601,Wed Feb 27 16:57:57 +0000 2019,msbearce,1497,10,0
1100802170302152704,Wed Feb 27 16:57:43 +0000 2019,anneleftwich,1069,10,0
1100801940408029184,Wed Feb 27 16:56:49 +0000 2019,RachelEdTech,128,10,0
1100801845990064129,Wed Feb 27 16:56:26 +0000 2019,ahnjune,1380,10,0
1100801666297851904,Wed Feb 27 16:55:43 +0000 2019,StephWortel,825,10,0
1100801663085043712,Wed Feb 27 16:55:43 +0000 2019,CSforALL,12983,10,0
1100801507778285568,Wed Feb 27 16:55:06 +0000 2019,lsudol,2664,10,21
1100801187710787584,Wed Feb 27 16:53:49 +0000 2019,ahnjune,1380,5,0
1100800241224351746,Wed Feb 27 16:50:04 +0000 2019,mouse_org,3181,4,6
1100799922528370688,Wed Feb 27 16:48:48 +0000 2019,BootUpPD,1115,5,0
1100799009772527616,Wed Feb 27 16:45:10 +0000 2019,mouse_org,3181,1,0
1100798929870966784,Wed Feb 27 16:44:51 +0000 2019,StephWortel,825,5,0
1100798886627762181,Wed Feb 27 16:44:41 +0000 2019,CSforALL,12983,5,0
1100798831627853824,Wed Feb 27 16:44:27 +0000 2019,lsudol,2664,5,15
1100797941516849152,Wed Feb 27 16:40:55 +0000 2019,dr_nickiw,1110,2,6
1100797166011011080,Wed Feb 27 16:37:50 +0000 2019,CSforALL,12983,0,4
1100796071318564864,Wed Feb 27 16:33:29 +0000 2019,stevenpfloyd,2551,7,0
1100795034247614469,Wed Feb 27 16:29:22 +0000 2019,AutoAutoAI,239,3,0
1100794594445484033,Wed Feb 27 16:27:37 +0000 2019,AbbyCameron131,263,1,8
1100793278868336640,Wed Feb 27 16:22:24 +0000 2019,BTwarek,1575,2,9
1100791772719001605,Wed Feb 27 16:16:24 +0000 2019,AaronCuddeback,6712,7,0
1100791377863102464,Wed Feb 27 16:14:50 +0000 2019,marlobarnett,1542,4,0
1100791297340776451,Wed Feb 27 16:14:31 +0000 2019,CSforALL,12983,4,0
1100791172950343680,Wed Feb 27 16:14:01 +0000 2019,FilizKalelioglu,1443,7,0
1100791102012039168,Wed Feb 27 16:13:45 +0000 2019,dr_nickiw,1110,4,11
1100790286555496448,Wed Feb 27 16:10:30 +0000 2019,ijcses,166,7,0
1100790047358500866,Wed Feb 27 16:09:33 +0000 2019,ICTinPractice,631,7,0
1100789978962059264,Wed Feb 27 16:09:17 +0000 2019,katieirenec,819,4,0
1100789757431480323,Wed Feb 27 16:08:24 +0000 2019,marlobarnett,1542,3,0
1100789717329739776,Wed Feb 27 16:08:14 +0000 2019,yallsop,7649,7,13
1100789603747971073,Wed Feb 27 16:07:47 +0000 2019,dr_nickiw,1110,0,5
1100789580649836545,Wed Feb 27 16:07:42 +0000 2019,josephpwilson,2154,3,0
1100788917413072898,Wed Feb 27 16:05:04 +0000 2019,marlobarnett,1542,4,0
1100788655688421382,Wed Feb 27 16:04:01 +0000 2019,Todd_Lash,2413,9,0
1100787450723618816,Wed Feb 27 15:59:14 +0000 2019,StephWortel,825,9,0
1100786395076014080,Wed Feb 27 15:55:02 +0000 2019,StephWortel,825,0,5
1100786190674997249,Wed Feb 27 15:54:14 +0000 2019,StephWortel,825,12,0
1100786106071683072,Wed Feb 27 15:53:53 +0000 2019,kualoaha1,212,7,0
1100785605615730689,Wed Feb 27 15:51:54 +0000 2019,CSforALL,12983,7,0
1100785502452662272,Wed Feb 27 15:51:30 +0000 2019,GT_CCEC,304,0,3
1100785369329647617,Wed Feb 27 15:50:58 +0000 2019,dr_nickiw,1110,4,7
1100785312450703360,Wed Feb 27 15:50:44 +0000 2019,marlobarnett,1542,7,0
1100785263620640769,Wed Feb 27 15:50:33 +0000 2019,marlobarnett,1542,12,0
1100785213645512704,Wed Feb 27 15:50:21 +0000 2019,marlobarnett,1542,2,0
1100784850129305600,Wed Feb 27 15:48:54 +0000 2019,RyanTorbey,2554,1,5
1100784270443012096,Wed Feb 27 15:46:36 +0000 2019,dr_nickiw,1110,7,9
