ID,time created, User, Followers, RTs, Favorites
1101253578004549637,Thu Feb 28 22:51:27 +0000 2019,hmfv1,1105,11,0
1101253325243248641,Thu Feb 28 22:50:27 +0000 2019,txadoptees,60,5,6
1101253236588109824,Thu Feb 28 22:50:06 +0000 2019,PercievedLogic,10553,1,1
1101252725935824902,Thu Feb 28 22:48:04 +0000 2019,USCgeteostudy,6,0,0
1101252381831057413,Thu Feb 28 22:46:42 +0000 2019,SusleMJ,201,5,0
1101252353305559040,Thu Feb 28 22:46:35 +0000 2019,AileensBelle,992,3,0
1101251912941264898,Thu Feb 28 22:44:50 +0000 2019,PercievedLogic,10553,0,1
1101251835413884929,Thu Feb 28 22:44:32 +0000 2019,L0ST5ILVER,15,0,0
1101251815343968256,Thu Feb 28 22:44:27 +0000 2019,Gale_ANZ,319,1,1
1101251172571193344,Thu Feb 28 22:41:54 +0000 2019,Saahearn,2128,108,0
1101251005826715648,Thu Feb 28 22:41:14 +0000 2019,PurnaMusic,358,0,0
1101250802621054978,Thu Feb 28 22:40:26 +0000 2019,ninadelado,3835,108,0
1101250635314417664,Thu Feb 28 22:39:46 +0000 2019,anticonmandonni,2661,108,0
1101250525641752576,Thu Feb 28 22:39:20 +0000 2019,Rik_Boers,160,0,0
1101249825276739586,Thu Feb 28 22:36:33 +0000 2019,FormerlyNDNWar1,1357,108,0
1101249471206313984,Thu Feb 28 22:35:08 +0000 2019,arrugas12,1500,108,0
1101249256143405056,Thu Feb 28 22:34:17 +0000 2019,_vero_nike_,1146,1,0
1101249252896980992,Thu Feb 28 22:34:16 +0000 2019,torisprung,480,1,2
1101249195187429376,Thu Feb 28 22:34:03 +0000 2019,Black_is_back5,1,108,0
1101248933035151361,Thu Feb 28 22:33:00 +0000 2019,KristenStieffel,955,0,0
1101248932028411906,Thu Feb 28 22:33:00 +0000 2019,SecularStudents,20660,0,1
1101248868824637441,Thu Feb 28 22:32:45 +0000 2019,Charlotte_YMCA,4523,4,0
1101248817070927872,Thu Feb 28 22:32:32 +0000 2019,cnsimmons,2007,0,5
1101248807155699712,Thu Feb 28 22:32:30 +0000 2019,Chelsea_YMCA,191,4,0
1101248737836519424,Thu Feb 28 22:32:13 +0000 2019,urbanjackattack,5182,108,0
1101248728575418368,Thu Feb 28 22:32:11 +0000 2019,OrlyLobel,1765,1,9
1101248537923407873,Thu Feb 28 22:31:26 +0000 2019,PhersonCindy,3781,108,0
1101248453248671745,Thu Feb 28 22:31:06 +0000 2019,lovecancureus,3537,0,1
1101248419279065089,Thu Feb 28 22:30:58 +0000 2019,LoveDaisyPetals,427,0,0
1101248397720387589,Thu Feb 28 22:30:52 +0000 2019,Charlotte_YMCA,4523,4,13
1101248386387238912,Thu Feb 28 22:30:50 +0000 2019,chiossone,148,0,0
1101248379152187400,Thu Feb 28 22:30:48 +0000 2019,INJA2012,45,0,0
1101247844042698752,Thu Feb 28 22:28:40 +0000 2019,Liberalkelli64,790,108,0
1101247602581008384,Thu Feb 28 22:27:43 +0000 2019,CherryRosaPie,414,5,0
1101247578207858688,Thu Feb 28 22:27:37 +0000 2019,ktlesser,33,14,0
1101247442115223553,Thu Feb 28 22:27:05 +0000 2019,Auzzielvr,2075,108,0
1101246943475482626,Thu Feb 28 22:25:06 +0000 2019,ConchitaFansSwe,69,5,9
1101246933794869248,Thu Feb 28 22:25:03 +0000 2019,Lg_on_the_Move,18797,2,0
1101246839825854464,Thu Feb 28 22:24:41 +0000 2019,NancyPerlman1,1848,108,0
1101246776516972544,Thu Feb 28 22:24:26 +0000 2019,tessie18,2384,10,0
